artist,genre
Muse,rock
Nirvana,rock
Bon Jovi,rock
The Police,rock
Kiss,rock
Guns N' Roses,rock
Rusted Root,rock
Katrina and the Waves,pop
The Beatles,rock
Hall & Oates,pop
Otis Redding,soul
Marvin Gaye,soul
The Cranberries,rock
Survivor,rock
Fleetwood Mac,blues
Radiohead,rock
Toto,rock
U2,rock
Creedence Clearwater Revival,rock
REM,rock
Simon & Garfunkel,folk
Van Morrison,blues
Lynyrd Skynyrd,southern rock
Claude Debussy,classical
Franz Liszt,classical
Georg Friedrich Händel,opera
Tbilisi Symphony Orchestra,classical
Max Bruch,romantic
Александр Порфирьевич Бородин,classical
Wolfgang Amadeus Mozart,classical
Pyotr Ilyich Tchaikovsky,classical
Antonín Dvořák,classical
Frédéric Chopin,classical
Richard Addinsell,classical
Johann Sebastian Bach,classical
David Lang,classical
Gabriel Fauré,classical
Terry Davies,club
Stuttgart Piano Trio,classical
Corinne Bailey Rae,soul
The Rolling Stones,rock
Spin Doctors,rock
Stevie Wonder,pop
Jean Sibelius,symphony
Royal Scottish National Orchestra,classical
Ludovico Einaudi,classical
Erik Satie,classical
Pietro Mascagni,opera
Red Hot Chili Peppers,rock
AC/DC,rock
All I Want For Christmas Is You,remix
canzoni di natale,disco
Bryan Adams,rock
Michael Bublé,jazz
Pink Floyd,rock
Boston,rock
Santana,rock
Aerosmith,rock
Queen,rock
The Marshall Tucker Band,southern rock
The Hollies,rock
Heart,rock
The Who,rock
ZZ Top,rock
The Allman Brothers Band,blues
Dire Straits,rock
Black Sabbath,heavy metal
The Clash,punk
Led Zeppelin,rock
The Kinks,rock
Edvard Grieg,classical
Dmitri Shostakovich,classical
Anders Miolin,classical
Itzhak Perlman,classical
Dee Dee Ramone,punk
Motörhead,rock
Ozzy Osbourne,rock
Airbourne,rock
Megadeth,metal
Alternative TV,punk
Metallica,rock
Joe Satriani,rock
System of a Down,rock
Ramones,punk
Kreator,thrash metal
Mercyful Fate,heavy metal
Judas Priest,heavy metal
Iron Maiden,heavy metal
Venom,black metal
Jessie J,pop
Robyn,pop
Kelis,pop
The Tease,hip hop
MSTRKRFT,electronic
Rihanna,pop
Meshuggah,metal
Gojira,metal
Napalm Death,grindcore
Decapitated,death metal
Dom & Roland,drum and bass
Cannibal Corpse,death metal
Behemoth,death metal
Fake Blood,electro
Paloma Faith,pop
BT,trance
Soilwork,melodic death metal
Whitechapel,death metal
Danzig,rock
LFO,techno
E-Z Rollers,drum and bass
Benny Benassi,house
Kraftwerk,electronic
Loco Dice,techno
Mason,dance
Aphex Twin,electronic
Dopamine,black metal
Ed Rush, Optical & Matrix,techstep
Noisia,drum and bass
Rennie Pilgrem & BLIM,breakbeat
Mist,electronic
Booka Shade,house
Skream,dubstep
Stanton Warriors,breakbeat
DJ Fresh,drum and bass
Dizzee Rascal,grime
Eminem,hip hop
Bing Crosby,jazz
Caramell,bubblegum dance
The Chemical Brothers,electronica
Leftfield,house
Sarah McLachlan,pop
Dina Carroll,soul
Tsunami One & BT,breakbeat
Elastic Reality,dance
Prana,trance
Sasha & BT,symphony
Seal,soul
Libra Presents Taylor,trance
Mike Oldfield,new age
Grace,dance
Dharma,rock
Paul van Dyk,trance
Orbital,techno
Phonetix,pop
Lucien Feat Denzee & Wretch 32,rock
The One Hundred,dance
Kingdom feat Shyvonne,hardcore
MJ Cole feat Serocee,uk garage
Agent X Feat Nate James,uk garage
Wideboys,uk garage
Donae'o,funky house
Gracious K,grime
So Solid Crew,uk garage
Majestic,power metal
Fugative,hip hop
Kano,grime
DJ Zinc & Benga feat Sweetie Irie,remix
Breakage Feat Newham Generals & David Rodigan,dubstep
Maxwell D,uk garage
Mason feat DMC & Sam Sparro,dance
Wiley,grime
Chipmunk,grime
Joy Orbison,dubstep
Project Bassline,dubstep
Groove Armada Feat Fenech-Soler,dance
Simian Mobile Disco,electronic
Bassnectar,glitch
TC,drum and bass
MJ Cole,uk garage
Audio Bullys,house
SL2,breakbeat
The Artful Dodger Feat Richie Dan & Sevi G,uk garage
Dillinja,drum and bass
Adam F,electronica
Pendulum,electronic
DJ Fresh Feat Stamina MC & Koko,drum and bass
Nero,dubstep
Hadouken!,grime
End of a Year,punk
Drug Church,alternative
Bart Davenport,pop
Erlend Øye,electronic
Sean Nicholas Savage,pop
DJ Jazzy Jeff & The Fresh Prince,comedy
Poliça,synthpop
Paula,pop
Death By Stereo,hardcore
Backlash,electronic
Triple Threat,hardcore
Terror,hardcore
Damnation AD,hardcore
Bold,hardcore punk
Sick of It All,hardcore
Walter Schreifels,post-hardcore
This Is Hell,hardcore
CIV,hardcore punk
108,hardcore
Youth of Today,hardcore
Sandro Perri,experimental
Ink and Dagger,punk
Denali,indie rock
Omar A Rodriguez-Lopez,post-hardcore
Men, Women & Children,electropop
Future Islands,new wave
Kendrick Lamar,hip hop
DJ Quik,rap
Fine Mist,80s
Zeke Manyika,pop
The Go! Team,indie rock
Slick Rick,hip hop
Souls of Mischief,hip hop
Ahmad Lewis,pop
Chaz Jankel,dance
The Gist,new wave
Otouto,pop
Dirty Projectors,indie
The Chap,pop
Feist,indie
Zero Zero,rock
TLC,r&b
The Waitresses,new wave
Miss TK & The Revenge,new wave
April March,indie pop
Sade,r&b
Carly Simon,pop
Jill Read,50s
R Stevie Moore,lo-fi
Syleena Johnson,r&b
The Party of Helicopters,rock
Justin Bieber,pop
Denitia and Sene,soul
Lostprophets,rock
Nas,hip hop
Kid Cudi,hip hop
Bob Marley,reggae
Roxette,pop
Ceo,electropop
The Tough Alliance,pop
El Perro del Mar,pop
Twiggy Frostbite,post rock
Lykke Li,pop
Redbone,rock
David Bowie,rock
Norman Greenbaum,70s
The Raspberries,rock
Blue Swede,pop
Gold Panda,electronic
Death Cab for Cutie,indie rock
Matana Roberts,jazz
Holy Fuck,electronic
Jawbox,post-hardcore
Desaparecidos,emo
Thursday,screamo
Elliott,emo
Cursive,emo
The Appleseed Cast,emo
Biffy Clyro,rock
Oasis,rock
Childish Gambino,hip hop
Crepes,dream pop
Golden Fable,indie pop
Jeff Beck,rock
James Newton Howard,soundtrack
Billy Joel,rock
Paul McCartney,rock
Mumford & Sons,folk
Florence + the Machine,indie
Public Service Broadcasting,electronic
Adele,pop
Crowded House,rock
Jet,rock
Dixie Chicks,country
Rumer,soul
Sam Smith,pop
Coldplay,rock
Interpol,rock
Newton Faulkner,pop
The Smiths,rock
Maroon 5,pop
London Metropolitan Orchestra,soundtrack
James Morrison,jazz
Arctic Monkeys,rock
Foo Fighters,rock
Dolly Parton,country
Royal Blood,rock
Gavin James,irish folk
Blossoms,60s
Anne-Marie,pop
Rodolfus Choir,symphony
The Cathedral Singers, Richard Proulx (conductor),choral music
The Stone Roses,madchester
City and Colour,singer-songwriter
Paul Weller,rock
Boyce Avenue,rock
Thompson,rock
Jonathan Groff,male vocalist
Joohyun Park,soundtrack
One Direction,pop
Ed Sheeran,singer-songwriter
Trent Reznor and Atticus Ross,soundtrack
Olan Mill,ambient
Rameses III,ambient
Killswitch Engage,metal
The Lovin' Spoonful,rock
Manfred Mann,pop
The Foundations,soul
The Spencer Davis Group,blues
The Move,rock
Small Faces,rock
The Supremes,motown
Tom Jones,pop
Lulu & The Luvvers,rock 'n roll
Sonic Syndicate,metal
Bullet for My Valentine,metal
The Enemy,indie rock
Rise Against,punk
All That Remains,metal
Status Quo,rock
Die Toten Hosen,rock
Saxon,heavy metal
The Motors,pub rock
The Saints,punk
Paul Hardcastle,smooth jazz
Big Country,rock
Faces,rock
Ronny Jordan,jazz
Dennis Waterman,comedy
The Crusaders,jazz
Floating Points,dubstep
Steely Dan,rock
John Barry,soundtrack
Nina,pop
Def Leppard,rock
Henri-Pierre Noel,jazz
Hackney Colliery Band,jazz
Roy Davis Jr,house
Kraak & Smaak,funk
Joubert Singers,funk
Mark Knight,dance
Nneka,soul
Shackleton,dubstep
Eric Prydz,house
Marc Cohn,pop
Tom Waits,blues
The Doobie Brothers,rock
Timmy Thomas,r&b
Deftones,alternative metal
The Velvet Underground,rock
Peter Sarstedt,pop
The Band,rock
Cream,rock
The Troggs,rock
The Beach Boys,pop
The Temptations,soul
The Shangri-Las,pop
Lesley Gore,pop
Faith No More,rock
Bruce Cockburn,folk
Steve Winwood,rock
Gruppo Sportivo,pop
Bruce Hornsby & the Range,rock
A Flock of Seagulls,new wave
Altered Images,new wave
Gary Wright,rock
The Cure,new wave
The Rubinoos,power pop
The Moody Blues,rock
Big Pig,rock
The Psychedelic Furs,rock
Depeche Mode,synthpop
The Divine Comedy,pop
Dennis Wilson,rock
Soundgarden,rock
Warren G,hip hop
kd lang,country
Minnie Riperton,soul
Swans,no wave
Badfinger,rock
10cc,pop
Traffic,rock
Stan Ridgway,rock
King's X,rock
Cocteau Twins,dream pop
Blondie,pop
Philco Fiction,pop
Jamie Lidell,soul
Anna Wise,new age
Grapell,80s
Annie,pop
Sundara Karma,indie
GL,rap
Society,symphony
Låpsley,electronic
Musique Le Pop,pop
Yumi Zouma,indie pop
Tropics,electronic
Crazy P,house
Dreamtrak,dance
gif,hip hop
Favela,samba
Cody ChesnuTT,soul
Anthony Hamilton,soul
